2016,1,1,97,1,1,98,2,84,1,1,100,1,100,7,71,0,0
2016,1,1,97,1,2,89,1,84,1,1,100,1,100,10,101,0,0
2016,1,2,95,1,1,95,2,78,4,1,100,13,1300,7,71,5700,27300
2016,1,3,159,1,1,160,1,46,1,1,100,27,2700,8,81,1550,65000
2016,1,3,159,1,2,154,2,52,1,1,100,1,100,6,65,0,0
2016,1,3,159,1,3,184,1,20,6,1,100,1,100,6,63,0,0
2016,1,3,159,1,4,260,2,16,6,1,100,1,100,4,40,0,0
2016,1,4,122,1,1,122,2,66,1,1,100,1,100,6,63,5700,0
2016,1,4,122,1,2,113,1,68,1,1,100,1,100,10,101,0,0
2016,1,5,20,1,1,20,1,64,1,1,100,1,100,6,65,6200,78000
2016,1,5,20,1,2,18,2,63,1,1,100,1,100,6,65,4510,0
2016,1,6,226,1,1,226,1,25,6,1,100,22,2200,7,71,3600,19200
2016,1,6,226,1,2,155,2,23,6,1,100,1,100,8,81,3640,19100
2016,1,7,15,1,1,15,2,35,4,1,100,1,100,10,101,2310,35000
2016,1,8,225,1,1,225,1,26,1,2,200,1,100,7,71,7810,27000
2016,1,8,225,1,2,275,2,25,1,2,200,1,100,6,63,4720,18000
2016,1,8,225,1,3,263,2,6,6,2,200,1,100,1,12,0,999999
2016,1,8,225,1,4,223,1,1,6,2,200,1,100,0,1,0,999999
2016,1,8,225,1,5,262,2,8,6,2,200,1,100,1,14,0,999999
2016,1,9,151,1,1,151,2,37,3,1,100,1,100,7,71,5240,5000
2016,1,9,151,1,2,55,1,15,6,8,801,1,100,3,30,0,999999
2016,1,9,151,1,3,55,2,12,6,8,801,1,100,2,22,0,999999
2016,1,10,20,1,1,20,1,83,5,2,200,1,100,6,63,0,0
2016,1,11,18,1,1,18,1,36,1,1,100,12,1200,10,101,7000,356000
2016,1,11,18,1,2,14,2,35,1,1,100,1,100,10,101,2040,0
2016,1,11,18,1,3,25,2,4,6,1,100,1,100,0,2,0,999999
2016,1,12,111,1,1,111,1,72,1,1,100,426,42600,0,2,9640,0
2016,1,12,111,1,2,93,2,76,1,4,400,500,50000,11,114,0,0
2016,1,13,204,1,1,204,2,30,1,1,100,1,100,6,63,4230,350
2016,1,13,204,1,2,164,1,33,1,1,100,5,500,6,63,7340,720
2016,1,13,204,1,3,226,2,13,6,1,100,1,100,2,22,0,999999
2016,1,13,204,1,4,167,1,11,6,1,100,1,100,1,17,0,999999
2016,1,13,204,1,5,167,1,9,6,1,100,1,100,1,15,0,999999
2016,1,14,59,3,1,59,1,35,4,1,100,1,100,10,101,4250,2400
2016,1,15,86,1,1,86,2,53,4,2,200,1,100,6,65,8220,17000
2016,1,16,10,1,1,10,2,71,1,1,100,1,100,5,50,5700,8000
2016,1,16,10,1,2,12,1,76,1,1,100,30,3000,7,71,0,0
2016,1,16,10,1,3,26,2,45,4,1,100,13,1300,7,71,120,31600
2016,1,17,78,1,1,78,2,57,4,2,200,1,100,8,81,2145,15000
2016,1,17,78,1,2,142,2,25,6,2,200,1,100,7,71,4600,9000
2016,1,17,78,1,3,142,1,24,6,2,200,1,100,7,71,5410,12500
2016,1,18,71,1,1,71,2,37,6,2,200,1,100,7,71,4010,22600
2016,1,18,71,1,2,90,1,20,6,2,200,1,100,6,63,4230,1000
2016,1,18,71,1,3,42,2,16,6,2,200,1,100,4,40,0,0
2016,1,19,50,1,1,50,1,50,1,1,100,28,2800,6,65,3740,10000
2016,1,19,50,1,2,74,2,49,1,1,100,1,100,7,71,2310,5000
2016,1,19,50,1,3,76,1,13,6,1,100,1,100,2,25,0,999999
2016,1,19,50,1,4,56,2,12,6,1,100,1,100,2,22,0,999999
2016,1,20,27,1,1,28,1,67,1,2,200,1,100,6,65,4220,59000
2016,1,20,27,1,2,31,1,67,1,2,200,1,100,6,65,4220,60000
